"Review"	"Prediction"
"well mission impossible 3 sucked a lot."	"0"
"The Da Vinci Code sucks, BTW!"	"0"
"The first Mission Impossible was awesome, and this one looks pretty good, too.."	"1"
"We both love Harry Potter and Grey's Anatomy."	"1"
"saw mission impossible 3 kinda stupid yet good.."	"0"
"Firstly I'll say that I really loved the first mission impossible a lot.."	"1"
"Well the Da Vinci Code, was Awesome!"	"1"
"which is probably why I disliked Brokeback Mountain..."	"0"
"Mission Impossible III is awesome!.. [ Pictures from Erin's ].........."	"1"
"µª " " = 0 = I HATE BROKEBACK MOUNTAIN.."	"0"
"I like Harry Potter.."	"1"
"The Da Vinci Code is actually a good movie..."	"1"
"I HATE Harry Potter, but I'd so watch it if KAT-TUn starred in it!"	"0"
"i am love brokeback mountain madly."	"1"
"What I'd like to see is some Mission Impossible stuff, maybe throw them in jail and have them break out in 3 minutes."	"1"
"The Da Vinci Code sucked, but the night was great."	"0"
"Mission Impossible III sucked to a major extent."	"0"
"I hate it though, because I really like his Mission Impossible films, so I feel bad when I go see them in theater, since I'm putting money in his pocket doing that."	"1"
"hey I heard da vinci code sucks butt."	"0"
"FYI-Mission Impossible 3 is awesome.."	"1"
"Mission Impossible III-Sucks big-time!.."	"0"
"gotta luv brokeback mountain, lol.."	"1"
"the story of Harry Potter is a deep and profound one, and I love Harry Potter."	"1"
"absolutely hated the Da Vinci Code..."	"0"
"After that we decided to see Mission Impossible III which sucked a little bit."	"0"
"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband."	"1"
"Mission Impossible 3 was so awesome!.."	"1"
"After two viewings Mission Impossible 3 is still fucking awesome..."	"1"
"Brokeback Mountain was boring."	"0"
"Harry Potter sucks Frodo's balls, and vice versa."	"0"
"Brokeback Mountain is still a beautiful film, and nothing changes that!.."	"1"
"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor explain the awesomeness of its hardcore, awesome power of awesomeness....."	"1"
"i loved the da vinci code was a kick ass movie..."	"1"
"Mission impossible was pretty cool, though I want you all to experience it at a camp setting which is ten times better with all the land & places to hide."	"1"
"so instead we went to see Mission Impossible 3, which was freaking awesome!"	"1"
"Mission Impossible 3 looks AWESOME..."	"1"
"Beautiful random thoughts on Brokeback Mountain."	"1"
"By the master himself, the man sitting at the head of the table, is a rant on how Brokeback Mountain has made gayness so mainstream, it, well, kind of sucks..."	"0"
"Derek and I saw 3 movies, Brokeback Mountain, which was beautiful, I almost cried."	"1"
"also loved the da vinci code.."	"1"
"the da vinci code was awesome lah!"	"1"
"The Da Vinci Code really is an awesome book and you should all go get it."	"1"
"I like their Harry Potter and pop culture stuff, but I'm not very picky!."	"1"
"because i just SO DEARLY LOVE brokeback mountain.."	"1"
"And better..-We all know Da Vinci code is bogus and inaccurate."	"0"
"made freaking awesome Harry Potter animated emotes."	"1"
"I love Harry Potter and if there's someone like him, I wanna date him... -- Jamaica, Queens.."	"1"
"No, I'm just sick of him making crappy Mission Impossible sequels."	"0"
"Mission Impossible was amazing."	"1"
"ERM da vinci code and it sucked.."	"0"
"The Harry Potter picture is awesome."	"1"
"i love gay boys but i think brokeback mountain sucked.."	"0"
"Brokeback Mountain had a beautiful score, and since it did not receive Best Picture, they had to give it something, not just best director."	"1"
"But I hate Harry Potter..."	"0"
"brokeback mountain sucks anus, and thats a fact..."	"0"
"BROKEBACK MOUNTAIN BOYY hahahahahaha I SUCK WEINERS!!"	"0"
"That loves Harry Potter..."	"1"
"Mission Impossible 2 was awesome, so 3 should be good."	"1"
"Um, except that Mission Impossible 3 was AWESOME!:)"	"1"
"Mission Impossible 3 sucked ass tho..."	"0"
"lol I love Harry Potter like a fat kid loves cake."	"1"
"While we're on the topic, Harry Potter stinks."	"0"
"The Whole Harry Potter deal --- Now I wish that fuckers would just shut the fuck up about Harry Potter being evil..."	"0"
"Oh, and Brokeback Mountain is a TERRIBLE movie..."	"0"
"I love Brokeback mountain!."	"1"
"i didn't know mission impossible 2 so sucks..."	"0"
"I did lapse once, created a new account, and left two stupid / short comments on the Brokeback Mountain board."	"0"
"I love Brokeback Mountain and I'm so dissapointed and surprised that it did not win the best picture and best actor..."	"1"
"MISSION IMPOSSIBLE 3 SUCKS!!.."	"0"
"so, i have to say that mission impossible three was pretty fucking awesome."	"1"
"So now, I'm going to watch some tv, then bullshit a I fucking hate Harry Potter costume for the monthly meeting tonight."	"0"
"If Jesus is fabricated a la the Da Vinci Code then Christianity is worthless..."	"0"
"I LOVE Harry Potter!!!"	"1"
"well DA VINCI CODE SUCKS!!"	"0"
"I frakking hate the Da Vinci Code."	"0"
"ERM da vinci code and it sucked..."	"0"
"I love Harry Potter!."	"1"
"Rofls, but yeah I hated the Da Vinci Code."	"0"
"we wanted to watch " The Da Vinci Code " but the timings sucked so we ended up going fer " Runaway Vacation " which is a really good movie..!"	"0"
"besides drowining myself in the Da Vinci Code -- which, by the way, was awesome!)."	"1"
"and mission impossible 3 was awesome."	"1"
"And by the way, Da Vinci Code movie sucks ass.."	"0"
"The level of badness of these movies is increasing exponentially, so I can only imagine how awful Mission Impossible the third will be...."	"0"
"DA VINCI CODE WAS AWESOME!!!!!.."	"1"
"holy crap i loved mission impossible 3.."	"1"
"the da vinci code sucked lol..."	"0"
"No matter how much I love Brokeback Mountain, Crash definitely deserved the Oscar as best movie this year."	"1"
"Mission Impossible 3 et al. can be said to be boring!"	"0"
"I was so proud of myself that I was given the task of making Harry Potter sexy, and achieved it..."	"1"
"Watch it: 10 Things I Hate About You, The Patirot, A Knights Tale, The Four Feathers, Casanova, Lords of Dogtown, Monsters Ball, or Brokeback Mountain..."	"0"
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes.."	"0"
"I love Da Vinci Code."	"1"
"so I did an awesome Mission Impossible move [ eek tom ] off the rocks and it was going good until I fell and rolled."	"1"
"Brokeback Mountain was the most awful movie I have ever seen."	"0"
"Its weird, I like Tom Cruise movies, but I hate the Mission impossible films...."	"0"
"i thought da vinci code was great, same with kite runner."	"1"
"so, i heard the da vinci code sucked."	"0"
"Da Vinci Code is an awesome movie."	"1"
"A / N: This is a gift for sivullinen who requested: ” I'd love some NC-17 het in Harry Potter fandom."	"1"
"I hate Harry Potter with a passion but these are hilarious!.................."	"0"
"So Brokeback Mountain was really depressing."	"0"
"I wasn't even in the mood to shop yesterday and also Da Vinci Code sucked ASS."	"0"
"Write us a Harry Potter poem for a chance to win a fabulous Harry Potter prize!!.."	"1"
"i HATE HATE HATE tom cruise and mission impossible movies but i think i may go see this new one cuz..."	"0"
"RV was really good but Mission Impossible 3 fucking sucked."	"0"
"I love Harry Potter!.."	"1"
"Brokeback mountain sucks balls...."	"0"
"It is as if Abrams knows that the only reason we go to see a film like Mission Impossible is so that we can watch some explosions and Tom Cruise run."	"1"
"Mission Impossible was a good unpredictable spy movie, if you like that sort of thing."	"1"
"THE DA VINCI CODE is AN AWESOME BOOK...."	"1"
"And Harry Potter looks stupid:.."	"0"
"If you don't know that I love reading Harry Potter, you probably have never read my other posts before."	"1"
"Da Vinci Code is a friggin awesome book."	"1"
"I wish I could write a paper entitled " Why Harry Potter is Awesome."	"1"
"fell asleep during the latter one, but i loved " brokeback mountain."	"1"
"and da vinci code sucks!.."	"0"
"* g * But, much as I love the Harry Potter movies, the books are better..."	"1"
"Harry Potter is great if you have read the book!"	"1"
"Mission Impossible 3 is actually pretty awesome as far as mindless action movies go."	"1"
"brokeback mountain was a HORRIBLE movie..."	"0"
"It's BBM, a Jake / Heath RPS story, so I figured there would be interest here since a lot of you, I know, saw and loved Brokeback Mountain."	"1"
"I HATED Mission Impossible 2.."	"0"
"Harry Potter still sucks, though."	"0"
"I love the Da Vinci Code too."	"1"
"“ I hate you Harry Potter, ” Hermione said childishly..."	"0"
"Brokeback Mountain, Larry McMurtry & Diana Ossana-the book sucked, movie was way better, they had a lot of work to do.."	"0"
"EVILPINKMUNKY IS GAY AND BROKEBACK MOUNTAIN SUCKS!."	"0"
"So word on the street is -- The Da Vinci Code apparently sucks...."	"0"
"and i thought mission impossible III was quite awesome.."	"1"
"I still love Brokeback Mountain and Queer eye."	"1"
"Score-Brokeback Mountain had a beautiful score."	"1"
"da vinci code sucked too long and too slow....."	"0"
"Mission Impossible III was an AWESOME MOVIE!!!"	"1"
"i fucking hated the da vinci code."	"0"
"I LOVE Brokeback Mountain!!!!!"	"1"
"The more you say The Da Vinci Code is evil, the more people will read it."	"0"
"Brokeback Mountain sucks!!!.. < _ <.. > _ >..."	"0"
"My point is, Harry Potter is evil..."	"0"
"Actually, we talked about how Harry Potter sucked, and how the writer of My Immortal was either a college student working on a psychology thesis or a sad person with the IQ of a cucumber..."	"0"
